CODIGO;NOMBRE;DIRECCION;POBLACION;NIF;CODIPOS;TELEFONO;PROVINCIA;FPAGO;IMP;DTO;TARIFA;ABONO;PAIS;NACIMIENTO
1;;;MADRID;X-1234;;;MADRID;;;;;;;30/03/1984
2;BOOKING;;;X-1235;;**345653;Madrid;0;;;;;;
3;Nombre 1;Calle 1;;X-1236;28016;**345654;MADRID;0;;;;;;
8;Nombre 2;Calle 2;BATRES;X-1237;;**345655;MADRID;;;;;;;
9;Nombre 3;Calle 3;;X-1238;;**345656;;;;;;;;
10;Nombre 4;Calle 4;;X-1239;;**345657;;;;;;;;
11;Nombre 5;Calle 5;;X-1240;;**345658;;;;;;;;
12;Nombre 6;Calle 6;;X-1241;;**345659;;;;;;;;
13;Nombre 7;Calle 7;;X-1242;;**345660;;;;;;;;
14;Nombre 8;Calle 8;;X-1243;;**345661;;;;;;;;
15;Nombre 9;Calle 9;;X-1244;;**345662;;;;;;;;
16;Nombre 10;Calle 10;;X-1245;;**345663;;;;;;;;
17;Nombre 11;Calle 11;;X-1246;;**345664;;;;;;;;
18;Nombre 12;Calle 12;;X-1247;;**345665;;;;;;;;
19;Nombre 13;Calle 13;;X-1248;;**345666;;;;;;;;
20;Nombre 14;Calle 14;;X-1249;;**345667;;;;;;;;
21;Nombre 15;Calle 15;;X-1250;;**345668;;;;;;;;
22;Nombre 16;Calle 16;;X-1251;;**345669;Guadalajara;2;;;;;;
23;Nombre 17;Calle 17;;X-1252;;**345670;Barcelona;;;;;;;
25;Nombre 18;Calle 18;VALENCIA;X-1253;;**345671;VALENCIA;;;;;;;07/10/1970
26;Nombre 19;Calle 19;;X-1254;;**345672;;;;;;;;
27;Nombre 20;Calle 20;;X-1255;;**345673;;;;;;;;
28;Nombre 21;Calle 21;;X-1256;;**345674;;;;;;;;
29;Nombre 22;Calle 22;MADRID;X-1257;;**345675;MADRID;;;;;;;10/10/1957
31;Nombre 23;Calle 23;MADRID;X-1258;;**345676;MADRID;0;;;;;;
35;Nombre 24;Calle 24;COLMENAREJO;X-1259;;**345677;MADRID;;;;;;;
36;Nombre 25;Calle 25;MADRID;X-1260;;**345678;MADRID;;;;;;;
37;Nombre 26;Calle 26;ALCORCON;X-1261;;**345679;MADRID;;;;;;;
39;Nombre 27;Calle 27;MADRID;X-1262;;**345680;MADRID;;;;;;;
40;Nombre 28;Calle 28;Toledo;X-1263;;**345681;Toledo;;;;;;;
41;Nombre 29;Calle 29;Madrid;X-1264;28047;**345682;Madrid;;;;;;;
42;Nombre 30;Calle 30;Cas Catala;X-1265;7001;**345683;ILLES Balears;;;;;;;11/11/1955
43;Nombre 31;Calle 31;Zaragoza;X-1266;;**345684;Zaragoza;;;;;;;
